accel_x[m/s^2],accel_y[m/s^2],accel_z[m/s^2],gyro_x[rad/s],gyro_y[rad/s],gyro_z[rad/s],mag_x[uT],mag_y[uT],mag_z[uT]
0.1,0.58,0,0.1,0.58,0,6.23,-5.55,3.62
-0.1,0.63,-0.02,-0.1,0.63,-0.02,5.34,-4.66,4.82
-0.24,0.17,0.01,-0.24,0.17,0.01,4.63,-3.58,4.48
-0.2,0.28,-0.11,-0.2,0.28,-0.11,4.45,-4.12,3.27
-0.2,0.28,-0.11,-0.2,0.28,-0.11,4.45,-4.12,3.27
-0.02,0.54,-0.1,-0.02,0.54,-0.1,6.05,-3.22,4.48
0.06,0.64,0.07,0.06,0.64,0.07,5.34,-3.58,4.13
0.11,0.53,0.13,0.11,0.53,0.13,3.74,-3.04,4.3
0.13,0.66,0.11,0.13,0.66,0.11,4.27,-2.87,4.82
0.22,0.7,0.09,0.22,0.7,0.09,5.88,-2.69,4.3
0.33,0.81,0.12,0.33,0.81,0.12,5.52,-1.61,4.99
0.36,0.88,0.03,0.36,0.88,0.03,5.52,-1.61,5.34
0.34,0.67,0.11,0.34,0.67,0.11,3.74,-1.25,4.99
0.41,0.67,0.2,0.41,0.67,0.2,3.56,-0.36,5.85
0.48,0.65,0.22,0.48,0.65,0.22,3.74,0.54,4.99
0.48,0.65,0.22,0.48,0.65,0.22,3.74,0.54,4.99
0.4,0.68,0.14,0.4,0.68,0.14,4.45,0.18,6.02
0.22,0.64,0.11,0.22,0.64,0.11,3.2,0.72,5.51
0.13,0.64,0.22,0.13,0.64,0.22,4.45,-0.18,5.68
0.12,0.61,0.12,0.12,0.61,0.12,3.56,1.43,3.79
0.11,0.62,0.23,0.11,0.62,0.23,3.56,1.08,5.16
0.03,0.47,0.22,0.03,0.47,0.22,4.27,1.08,4.82
0,0.3,0.22,0,0.3,0.22,3.74,2.69,5.34
0.11,0.43,0.17,0.11,0.43,0.17,4.63,1.79,5.51
0.34,0.35,0.23,0.34,0.35,0.23,3.03,3.4,5.34
0.45,0.28,0.32,0.45,0.28,0.32,5.52,2.69,5.68
0.45,0.28,0.32,0.45,0.28,0.32,5.52,2.69,5.68
0.47,0.31,0.22,0.47,0.31,0.22,3.38,4.12,4.99
0.51,0.4,0.18,0.51,0.4,0.18,3.74,2.69,4.99
0.44,0.42,0.22,0.44,0.42,0.22,3.92,4.66,4.82
0.29,0.25,0.3,0.29,0.25,0.3,3.03,3.04,3.96
0.15,0.07,0.24,0.15,0.07,0.24,4.09,4.12,6.02
0.29,0,0.23,0.29,0,0.23,3.2,5.73,4.13
0.31,0.11,0.23,0.31,0.11,0.23,4.98,5.73,4.13
0.39,0.03,0.26,0.39,0.03,0.26,5.7,6.45,5.16
0.39,0,0.24,0.39,0,0.24,2.49,6.45,3.1
0.38,-0.07,0.24,0.38,-0.07,0.24,3.92,6.09,4.48
0.38,-0.07,0.24,0.38,-0.07,0.24,3.92,6.09,4.48
0.32,-0.09,0.3,0.32,-0.09,0.3,4.09,4.48,4.99
0.24,0.07,0.24,0.24,0.07,0.24,3.74,7.35,4.3
0.28,0.11,0.24,0.28,0.11,0.24,3.92,7.17,5.16
0.31,0.13,0.25,0.31,0.13,0.25,3.74,8.78,4.3
0.38,0.03,0.24,0.38,0.03,0.24,3.38,10.21,2.58
0.36,-0.05,0.27,0.36,-0.05,0.27,3.03,9.85,3.62
0.33,0,0.25,0.33,0,0.25,2.31,8.42,5.68
0.25,0.03,0.24,0.25,0.03,0.24,2.67,11.65,4.65
0.2,0.09,0.27,0.2,0.09,0.27,3.56,10.75,5.16
0.11,-0.04,0.27,0.11,-0.04,0.27,3.92,10.39,3.1
0.11,-0.04,0.27,0.11,-0.04,0.27,3.92,10.39,3.1
0.07,-0.21,0.26,0.07,-0.21,0.26,2.85,11.11,4.13
-0.01,-0.34,0.21,-0.01,-0.34,0.21,3.2,12.18,3.79
0.06,-0.23,0.23,0.06,-0.23,0.23,4.27,11.11,4.48
0.19,0.08,0.24,0.19,0.08,0.24,4.27,12.9,4.82
0.2,0.11,0.24,0.2,0.11,0.24,3.03,12.72,2.93
0.08,-0.02,0.25,0.08,-0.02,0.25,2.85,12.54,3.44
0.03,-0.32,0.22,0.03,-0.32,0.22,3.92,13.62,4.13
0.18,-0.38,0.23,0.18,-0.38,0.23,4.09,13.8,3.62
0.11,-0.24,0.22,0.11,-0.24,0.22,3.74,15.59,3.27
0.09,-0.29,0.22,0.09,-0.29,0.22,3.2,15.05,2.06
0.09,-0.29,0.22,0.09,-0.29,0.22,3.2,15.05,2.06
0.21,-0.1,0.21,0.21,-0.1,0.21,4.09,14.88,3.62
0.39,-0.25,0.27,0.39,-0.25,0.27,5.16,15.59,4.65
0.35,-0.25,0.25,0.35,-0.25,0.25,5.34,17.92,4.48
0.14,-0.28,0.24,0.14,-0.28,0.24,3.74,18.09,2.93
-0.01,-0.34,0.21,-0.01,-0.34,0.21,5.34,17.92,4.82
0.04,-0.36,0.19,0.04,-0.36,0.19,4.98,17.56,3.79
0.04,-0.38,0.18,0.04,-0.38,0.18,6.59,18.09,2.58
-0.04,-0.3,0.19,-0.04,-0.3,0.19,6.77,18.62,4.48
-0.08,-0.18,0.18,-0.08,-0.18,0.18,6.23,18.45,2.58
-0.02,-0.27,0.18,-0.02,-0.27,0.18,6.23,20.61,3.62
-0.02,-0.27,0.18,-0.02,-0.27,0.18,6.23,20.61,3.62
-0.11,-0.2,0.2,-0.11,-0.2,0.2,6.59,19.53,2.93
-0.12,-0.25,0.22,-0.12,-0.25,0.22,6.41,22.22,3.1
-0.01,-0.23,0.19,-0.01,-0.23,0.19,6.05,21.5,2.75
0.07,-0.21,0.21,0.07,-0.21,0.21,7.12,21.86,4.48
0.08,-0.32,0.18,0.08,-0.32,0.18,9.26,24.02,3.1
-0.01,-0.2,0.2,-0.01,-0.2,0.2,9.26,23.66,1.03
-0.03,-0.2,0.21,-0.03,-0.2,0.21,8.19,22.22,1.03
-0.09,-0.09,0.2,-0.09,-0.09,0.2,9.79,24.91,1.55
-0.05,-0.13,0.19,-0.05,-0.13,0.19,8.9,24.72,2.06
-0.05,-0.07,0.2,-0.05,-0.07,0.2,10.32,25.08,2.75
-0.05,-0.07,0.2,-0.05,-0.07,0.2,10.32,25.08,2.75
-0.07,-0.08,0.19,-0.07,-0.08,0.19,10.32,25.8,1.38
-0.12,-0.08,0.19,-0.12,-0.08,0.19,12.1,25.08,1.72
-0.1,-0.08,0.22,-0.1,-0.08,0.22,12.28,25.98,1.55
-0.04,-0.05,0.19,-0.04,-0.05,0.19,11.04,26.88,0.34
0.02,-0.02,0.22,0.02,-0.02,0.22,12.99,26.7,2.58
0,0.04,0.24,0,0.04,0.24,12.99,27.41,2.24
0,-0.08,0.24,0,-0.08,0.24,12.81,28.31,2.75
-0.04,-0.04,0.23,-0.04,-0.04,0.23,13.35,29.2,0.52
-0.01,-0.13,0.23,-0.01,-0.13,0.23,14.59,27.23,1.72
0,-0.03,0.21,0,-0.03,0.21,15.48,28.12,2.58
-0.01,-0.08,0.2,-0.01,-0.08,0.2,15.31,30.45,1.38
-0.01,-0.08,0.2,-0.01,-0.08,0.2,15.31,30.45,1.38
-0.03,-0.01,0.23,-0.03,-0.01,0.23,16.73,28.67,1.72
0.01,0.08,0.22,0.01,0.08,0.22,18.69,30.64,2.24
0.07,0.02,0.21,0.07,0.02,0.21,18.16,30.81,1.38
0.08,0.07,0.22,0.08,0.07,0.22,18.69,32.06,1.21
0.09,-0.04,0.21,0.09,-0.04,0.21,18.33,29.92,1.89
0.1,0.05,0.22,0.1,0.05,0.22,20.11,32.78,-0.17
0.05,0.06,0.2,0.05,0.06,0.2,21,31.17,1.03
0.01,0.07,0.17,0.01,0.07,0.17,22.25,32.44,-0.17
0.01,0.09,0.17,0.01,0.09,0.17,22.78,33.31,1.72
0.01,0.09,0.17,0.01,0.09,0.17,22.78,33.31,1.72
0.07,0.06,0.14,0.07,0.06,0.14,22.78,32.97,1.03
0.11,0.09,0.17,0.11,0.09,0.17,23.31,32.78,0.52
0.11,0.07,0.19,0.11,0.07,0.19,24.39,34.22,2.58
0.13,0.07,0.17,0.13,0.07,0.17,25.81,34.56,1.89
0.18,0.07,0.21,0.18,0.07,0.21,26.7,33.31,1.38
0.2,0.03,0.2,0.2,0.03,0.2,28.66,34.94,2.24
0.22,0.05,0.17,0.22,0.05,0.17,26.34,33.69,1.72
0.28,0.02,0.16,0.28,0.02,0.16,29.73,34.56,0.52
0.3,0.04,0.12,0.3,0.04,0.12,28.84,33.69,1.72
0.24,0.11,0.17,0.24,0.11,0.17,30.27,34.03,2.41
0.24,0.11,0.17,0.24,0.11,0.17,30.27,34.03,2.41
0.2,0.11,0.15,0.2,0.11,0.15,30.62,35.12,2.06
0.28,0.18,0.15,0.28,0.18,0.15,31.69,34.75,0.69
0.29,0.1,0.13,0.29,0.1,0.13,33.28,34.22,1.55
0.27,0.13,0.12,0.27,0.13,0.12,33.62,34.94,0.86
0.27,0.16,0.11,0.27,0.16,0.11,33.81,35.12,1.72
0.27,0.15,0.11,0.27,0.15,0.11,34.34,34.22,0.86
0.31,0.21,0.09,0.31,0.21,0.09,35.41,35.66,1.55
0.33,0.15,0.11,0.33,0.15,0.11,35.06,34.94,-0.17
0.34,0.17,0.1,0.34,0.17,0.1,36.84,35.28,1.55
0.27,0.07,0.1,0.27,0.07,0.1,38.44,34.41,1.38
0.27,0.07,0.1,0.27,0.07,0.1,38.44,34.41,1.38
0.23,0.07,0.1,0.23,0.07,0.1,37.56,34.22,1.21
0.24,0.05,0.1,0.24,0.05,0.1,38.62,35.66,1.89
0.36,0.02,0.08,0.36,0.02,0.08,38.81,34.75,1.38
0.35,0.03,0.11,0.35,0.03,0.11,40.22,34.75,2.06
0.35,0,0.12,0.35,0,0.12,41.12,34.94,0.86
0.35,0.08,0.08,0.35,0.08,0.08,41.81,35.66,1.55
0.38,0.06,0.04,0.38,0.06,0.04,41.66,34.03,1.03
0.35,0.03,0.07,0.35,0.03,0.07,42.91,33.16,1.55
0.38,0.01,0.1,0.38,0.01,0.1,42.72,34.03,1.38
0.36,-0.04,0.1,0.36,-0.04,0.1,43.78,34.75,1.72
0.36,-0.04,0.1,0.36,-0.04,0.1,43.78,34.75,1.72
0.35,0.04,0.09,0.35,0.04,0.09,45.03,32.06,0.17
0.39,0.02,0.06,0.39,0.02,0.06,43.44,35.12,-0.69
0.34,0.08,0.04,0.34,0.08,0.04,44.84,32.97,0.34
0.33,0.09,0.07,0.33,0.09,0.07,45.56,34.41,1.03
0.34,0.05,0.11,0.34,0.05,0.11,46.81,31.72,2.58
0.4,0.08,0.09,0.4,0.08,0.09,46.47,33.16,1.55
0.43,0.07,0.06,0.43,0.07,0.06,48.59,32.44,0.52
0.41,-0.02,0.02,0.41,-0.02,0.02,49.12,31.53,2.06
0.37,0.02,0.07,0.37,0.02,0.07,48.78,32.25,2.41
0.41,-0.06,0.04,0.41,-0.06,0.04,50.72,31,1.55
0.41,-0.06,0.04,0.41,-0.06,0.04,50.72,31,1.55
0.4,-0.03,0.08,0.4,-0.03,0.08,51.44,30.28,2.58
0.33,-0.09,0.06,0.33,-0.09,0.06,51.97,28.67,1.03
0.3,-0.11,0.06,0.3,-0.11,0.06,51.25,31.53,0.69
0.3,-0.11,0.09,0.3,-0.11,0.09,52.5,29.2,0.17
0.39,-0.11,0.07,0.39,-0.11,0.07,52.88,29.2,0.17
0.4,-0.11,0.06,0.4,-0.11,0.06,53.59,29.92,0.52
0.36,-0.09,0.07,0.36,-0.09,0.07,55,27.77,-0.17
0.33,-0.12,0.05,0.33,-0.12,0.05,55.91,27.95,1.38
0.29,-0.08,0.05,0.29,-0.08,0.05,54.66,28.12,1.55
0.32,-0.12,0.06,0.32,-0.12,0.06,55.34,26.7,1.89
0.32,-0.12,0.06,0.32,-0.12,0.06,55.34,26.7,1.89
0.33,-0.11,0.08,0.33,-0.11,0.08,56.06,27.77,0.86
0.28,-0.1,0.07,0.28,-0.1,0.07,56.59,26.52,0
0.25,-0.12,0.04,0.25,-0.12,0.04,57.84,25.27,0.52
0.2,-0.02,0.04,0.2,-0.02,0.04,58.03,25.8,-0.34
0.22,-0.12,0.04,0.22,-0.12,0.04,56.59,25.08,-0.34
0.2,-0.12,0.05,0.2,-0.12,0.05,57.69,24.02,1.03
0.2,-0.23,0.06,0.2,-0.23,0.06,58.22,23.11,-0.17
0.2,-0.23,0.07,0.2,-0.23,0.07,58.91,23.11,0.17
0.19,-0.2,0.05,0.19,-0.2,0.05,59.62,23.83,1.55
0.15,-0.17,0.02,0.15,-0.17,0.02,60.69,22.75,0.17
0.15,-0.17,0.02,0.15,-0.17,0.02,60.69,22.75,0.17
0.11,-0.16,0.02,0.11,-0.16,0.02,58.56,22.39,2.24
0.08,-0.15,0.08,0.08,-0.15,0.08,61.41,21.67,0.86
0.05,-0.21,0.06,0.05,-0.21,0.06,58.91,22.03,0.86
0.06,-0.18,0.04,0.06,-0.18,0.04,60.69,20.25,1.55
0.12,-0.14,0.05,0.12,-0.14,0.05,60.69,21.31,0.17
0.15,-0.15,0.06,0.15,-0.15,0.06,62.47,20.61,2.24
0.07,-0.11,0.07,0.07,-0.11,0.07,61.41,19.53,1.89
0.03,-0.14,0.07,0.03,-0.14,0.07,62.31,18.98,1.03
0.05,-0.11,0.07,0.05,-0.11,0.07,63.91,18.45,0.86
0.11,-0.11,0.05,0.11,-0.11,0.05,61.94,18.27,1.72
0.11,-0.11,0.05,0.11,-0.11,0.05,61.94,18.27,1.72
0.14,-0.09,0.06,0.14,-0.09,0.06,62.47,18.09,1.21
0.15,-0.11,0.06,0.15,-0.11,0.06,62.47,18.45,1.89
0.14,-0.11,0.07,0.14,-0.11,0.07,63.56,15.95,0.86
0.16,-0.06,0.07,0.16,-0.06,0.07,63.72,16.48,0.69
0.15,-0.09,0.05,0.15,-0.09,0.05,62.47,14.88,0.52
0.1,-0.07,0.04,0.1,-0.07,0.04,64.75,16.48,0.34
0.09,-0.07,0.06,0.09,-0.07,0.06,64.44,15.05,-0.69
0.09,-0.11,0.05,0.09,-0.11,0.05,63.72,13.98,1.03
0.11,-0.14,0.07,0.11,-0.14,0.07,65.5,13.62,0.69
0.09,-0.16,0.03,0.09,-0.16,0.03,64.44,14.34,0
0.09,-0.16,0.03,0.09,-0.16,0.03,64.44,14.34,0
0.09,-0.12,0.04,0.09,-0.12,0.04,64.75,12.18,0
0.06,-0.08,0.03,0.06,-0.08,0.03,66.38,11.65,1.21
0.02,-0.06,0.04,0.02,-0.06,0.04,65.5,11.83,0.69
0.03,-0.04,0.06,0.03,-0.04,0.06,63.38,11.47,0.69
0.05,-0.04,0.05,0.05,-0.04,0.05,64.62,10.93,2.24
0.06,-0.02,0.05,0.06,-0.02,0.05,64.44,10.39,0.69
0.05,0.01,0.01,0.05,0.01,0.01,65.12,11.11,1.38
0.05,-0.01,0.04,0.05,-0.01,0.04,65.5,12.54,0.69
0.04,0.02,0.02,0.04,0.02,0.02,65.88,10.39,0.34
0.03,0.01,0,0.03,0.01,0,65.31,9.49,0.86
0.03,0.01,0,0.03,0.01,0,65.31,9.49,0.86
0.06,0.01,-0.03,0.06,0.01,-0.03,66.56,8.96,1.03
0.04,0,0.01,0.04,0,0.01,65.5,7.53,-0.34
0.04,0.01,0.01,0.04,0.01,0.01,65.31,7.35,0.17
0.08,0.07,0.01,0.08,0.07,0.01,65.5,6.45,0
0.05,0.12,0.01,0.05,0.12,0.01,65.5,6.81,1.38
0.05,0.11,0.01,0.05,0.11,0.01,66.38,6.27,0.52
0.06,0.12,-0.02,0.06,0.12,-0.02,66.94,3.94,0
0.07,0.04,0,0.07,0.04,0,65.12,4.66,0.69
0.04,0.07,0.01,0.04,0.07,0.01,67.62,5.38,0.34
0.13,0.07,-0.01,0.13,0.07,-0.01,66.19,3.94,0.34
0.13,0.07,-0.01,0.13,0.07,-0.01,66.19,3.94,0.34
0.15,0.04,-0.01,0.15,0.04,-0.01,65.5,3.22,1.03
0.2,0.04,-0.02,0.2,0.04,-0.02,66.19,1.43,1.72
0.12,0.09,-0.01,0.12,0.09,-0.01,66.94,0,1.38
0.07,0.11,-0.04,0.07,0.11,-0.04,65.69,0.9,-0.17
0.09,0.11,-0.03,0.09,0.11,-0.03,66.75,0.54,-0.17
0.07,0.14,-0.03,0.07,0.14,-0.03,67.12,0.54,0.52
0.13,0.04,-0.05,0.13,0.04,-0.05,65.31,-0.54,0.52
0.11,0.07,-0.07,0.11,0.07,-0.07,67.44,-1.25,0.52
0.08,0.07,-0.06,0.08,0.07,-0.06,65.88,-1.43,-0.69
0.09,0.07,-0.09,0.09,0.07,-0.09,66.19,-2.51,-1.72
0.09,0.07,-0.09,0.09,0.07,-0.09,66.19,-2.51,-1.72
0.09,0.1,-0.09,0.09,0.1,-0.09,66.38,-3.04,0.17
0.11,0.04,-0.07,0.11,0.04,-0.07,66,-3.04,-0.17
0.11,0.05,-0.06,0.11,0.05,-0.06,64.75,-2.87,1.03
0.15,-0.02,-0.06,0.15,-0.02,-0.06,64.94,-4.48,-0.52
0.15,0,-0.06,0.15,0,-0.06,66.19,-5.38,0.34
0.14,0.05,-0.07,0.14,0.05,-0.07,66.19,-6.81,0
0.11,0.1,-0.09,0.11,0.1,-0.09,62.66,-7.53,-0.69
0.11,0.17,-0.09,0.11,0.17,-0.09,64.25,-7.35,-2.24
0.15,0.19,-0.09,0.15,0.19,-0.09,65.69,-6.99,-1.55
0.13,0.15,-0.08,0.13,0.15,-0.08,63.38,-7.88,-0.69
0.13,0.15,-0.08,0.13,0.15,-0.08,63.38,-7.88,-0.69
0.13,0.14,-0.11,0.13,0.14,-0.11,64.06,-8.24,0
0.12,0.1,-0.12,0.12,0.1,-0.12,63.38,-9.31,-1.72
0.14,0.1,-0.11,0.14,0.1,-0.11,64.44,-9.67,-1.38
0.14,0.1,-0.11,0.14,0.1,-0.11,62.66,-10.75,-1.03
0.13,0.05,-0.11,0.13,0.05,-0.11,63.56,-12.36,-1.89
0.13,0.12,-0.09,0.13,0.12,-0.09,61.78,-14.16,-2.24
0.14,0.08,-0.11,0.14,0.08,-0.11,61.41,-11.65,-1.55
0.14,0.1,-0.11,0.14,0.1,-0.11,61.41,-13.44,-1.21
0.14,0.08,-0.13,0.14,0.08,-0.13,60.34,-12.72,-1.55
0.11,0.07,-0.15,0.11,0.07,-0.15,60.16,-13.62,-2.41
0.11,0.07,-0.15,0.11,0.07,-0.15,60.16,-13.62,-2.41
0.09,0.12,-0.13,0.09,0.12,-0.13,60,-14.52,-1.55
0.11,0.07,-0.15,0.11,0.07,-0.15,59.47,-15.41,-1.38
0.11,0.07,-0.17,0.11,0.07,-0.17,59.81,-16.48,-1.38
0.16,0.13,-0.17,0.16,0.13,-0.17,57.5,-15.23,-2.58
0.21,0.11,-0.15,0.21,0.11,-0.15,57.84,-16.66,-0.86
0.23,0.18,-0.16,0.23,0.18,-0.16,57.69,-16.48,-1.03
0.22,0.1,-0.15,0.22,0.1,-0.15,56.06,-17.02,-1.55
0.14,0.04,-0.16,0.14,0.04,-0.16,56.59,-17.56,-2.75
0.1,-0.01,-0.16,0.1,-0.01,-0.16,56.06,-18.45,-1.55
0.09,0,-0.18,0.09,0,-0.18,55.19,-19.7,-1.38
0.09,0,-0.18,0.09,0,-0.18,55.19,-19.7,-1.38
0.07,0.04,-0.18,0.07,0.04,-0.18,55.53,-20.42,-1.38
0.11,0.02,-0.2,0.11,0.02,-0.2,55.53,-20.42,-2.41
0.08,0.08,-0.17,0.08,0.08,-0.17,53.41,-21.14,-1.72
0.1,0.01,-0.18,0.1,0.01,-0.18,53.41,-21.14,-2.41
0.17,-0.01,-0.19,0.17,-0.01,-0.19,52.5,-20.61,-2.58
0.21,0.02,-0.19,0.21,0.02,-0.19,53.75,-21.14,-2.06
0.21,-0.03,-0.18,0.21,-0.03,-0.18,52.69,-21.5,-1.72
0.12,0.04,-0.2,0.12,0.04,-0.2,52.16,-23.11,-2.24
0.11,0.04,-0.17,0.11,0.04,-0.17,51.81,-22.39,-3.27
0.11,0.07,-0.19,0.11,0.07,-0.19,50.56,-23.3,-1.03
0.11,0.07,-0.19,0.11,0.07,-0.19,50.56,-23.3,-1.03
0.14,0.04,-0.21,0.14,0.04,-0.21,49.31,-25.27,-2.93
0.17,0,-0.19,0.17,0,-0.19,50.03,-24.91,-3.96
0.16,-0.03,-0.21,0.16,-0.03,-0.21,48.59,-23.47,-1.89
0.16,-0.06,-0.21,0.16,-0.06,-0.21,47,-24.36,-2.41
0.21,0.03,-0.19,0.21,0.03,-0.19,45.94,-25.44,-2.41
0.2,-0.03,-0.2,0.2,-0.03,-0.2,44.84,-26.88,-3.1
0.14,-0.02,-0.2,0.14,-0.02,-0.2,45.03,-27.77,-3.27
0.1,0,-0.2,0.1,0,-0.2,44.5,-28.31,-3.79
0.06,-0.03,-0.2,0.06,-0.03,-0.2,43.44,-27.59,-3.1
0.05,0.07,-0.19,0.05,0.07,-0.19,42.53,-26.7,-4.65
0.05,0.07,-0.19,0.05,0.07,-0.19,42.53,-26.7,-4.65
0.09,0.05,-0.22,0.09,0.05,-0.22,42.53,-28.48,-4.65
0.11,0.1,-0.21,0.11,0.1,-0.21,41.28,-27.23,-4.13
0.11,0.07,-0.23,0.11,0.07,-0.23,40.41,-27.77,-2.24
0.09,0.04,-0.23,0.09,0.04,-0.23,39.5,-27.23,-3.79
0.11,0.04,-0.19,0.11,0.04,-0.19,39.16,-28.31,-3.44
0.1,0.02,-0.22,0.1,0.02,-0.22,37.19,-28.48,-3.27
0.09,0.06,-0.22,0.09,0.06,-0.22,37.56,-28.84,-4.3
0.08,0.06,-0.22,0.08,0.06,-0.22,36.12,-28.84,-4.65
0.07,0.11,-0.22,0.07,0.11,-0.22,36.66,-27.95,-3.44
0.06,0.13,-0.21,0.06,0.13,-0.21,35.94,-28.31,-4.48
0.06,0.13,-0.21,0.06,0.13,-0.21,35.94,-28.31,-4.48
0.06,0.12,-0.2,0.06,0.12,-0.2,35.25,-27.95,-2.75
0.07,0.16,-0.22,0.07,0.16,-0.22,34.16,-28.31,-4.13
0.07,0.11,-0.24,0.07,0.11,-0.24,34,-28.12,-5.34
0.05,0.11,-0.23,0.05,0.11,-0.23,34.16,-29.75,-3.44
0.08,0.1,-0.23,0.08,0.1,-0.23,31.86,-27.77,-3.96
0.08,0.12,-0.22,0.08,0.12,-0.22,30.97,-28.67,-3.79
0.11,0.12,-0.19,0.11,0.12,-0.19,31.69,-29.39,-5.85
0.1,0.1,-0.23,0.1,0.1,-0.23,29.73,-28.48,-3.27
0.06,0.13,-0.22,0.06,0.13,-0.22,29.38,-28.12,-3.27
0,0.14,-0.21,0,0.14,-0.21,29.02,-28.12,-3.62
0,0.14,-0.21,0,0.14,-0.21,29.02,-28.12,-3.62
-0.04,0.18,-0.22,-0.04,0.18,-0.22,28.66,-29.56,-4.65
-0.02,0.2,-0.23,-0.02,0.2,-0.23,27.41,-27.95,-4.13
0,0.2,-0.25,0,0.2,-0.25,25.98,-28.31,-4.82
0,0.23,-0.26,0,0.23,-0.26,25.28,-27.59,-4.82
0.03,0.27,-0.24,0.03,0.27,-0.24,24.92,-27.59,-4.13
0.04,0.27,-0.24,0.04,0.27,-0.24,24.2,-27.95,-4.48
0.03,0.21,-0.24,0.03,0.21,-0.24,23.84,-29.03,-4.48
0.01,0.24,-0.23,0.01,0.24,-0.23,22.08,-28.31,-5.85
0,0.19,-0.25,0,0.19,-0.25,21.89,-27.06,-3.96
0,0.14,-0.25,0,0.14,-0.25,21.53,-27.06,-4.3
0,0.14,-0.25,0,0.14,-0.25,21.53,-27.06,-4.3
0.01,0.18,-0.23,0.01,0.18,-0.23,20.3,-27.59,-4.82
0.05,0.17,-0.22,0.05,0.17,-0.22,19.22,-27.95,-5.85
0.02,0.21,-0.23,0.02,0.21,-0.23,19.05,-27.06,-5.34
0.01,0.2,-0.22,0.01,0.2,-0.22,18.33,-27.77,-3.96
0.03,0.23,-0.25,0.03,0.23,-0.25,16.55,-27.41,-4.65
0.06,0.2,-0.23,0.06,0.2,-0.23,16.38,-26.52,-5.51
0.08,0.22,-0.22,0.08,0.22,-0.22,16.55,-27.06,-4.65
0.1,0.2,-0.23,0.1,0.2,-0.23,14.59,-26.88,-4.82
0.08,0.2,-0.22,0.08,0.2,-0.22,13.88,-24.02,-5.85
0.06,0.17,-0.23,0.06,0.17,-0.23,13.88,-26.52,-5.85
0.06,0.17,-0.23,0.06,0.17,-0.23,13.88,-26.52,-5.85
0.05,0.18,-0.21,0.05,0.18,-0.21,13.88,-26.52,-3.1
0.1,0.16,-0.2,0.1,0.16,-0.2,12.99,-23.83,-5.34
0.14,0.2,-0.21,0.14,0.2,-0.21,12.46,-24.72,-4.82
0.15,0.22,-0.22,0.15,0.22,-0.22,10.86,-23.83,-4.99
0.16,0.2,-0.21,0.16,0.2,-0.21,11.39,-25.8,-5.85
0.16,0.26,-0.22,0.16,0.26,-0.22,9.08,-22.75,-4.3
0.17,0.25,-0.21,0.17,0.25,-0.21,9.43,-23.83,-4.99
0.16,0.28,-0.22,0.16,0.28,-0.22,8.72,-23.47,-4.99
0.09,0.34,-0.22,0.09,0.34,-0.22,7.12,-22.22,-5.51
0.01,0.35,-0.22,0.01,0.35,-0.22,8.37,-20.61,-4.99
0.01,0.35,-0.22,0.01,0.35,-0.22,8.37,-20.61,-4.99
0,0.31,-0.22,0,0.31,-0.22,6.94,-20.25,-4.65
0.06,0.29,-0.22,0.06,0.29,-0.22,4.8,-22.03,-4.99
0.02,0.16,-0.22,0.02,0.16,-0.22,4.45,-21.67,-6.02
0.05,0.19,-0.21,0.05,0.19,-0.21,5.88,-19.89,-5.68
0.15,0.2,-0.22,0.15,0.2,-0.22,4.27,-18.27,-5.51
0.18,0.24,-0.22,0.18,0.24,-0.22,3.92,-17.92,-5.16
0.24,0.2,-0.22,0.24,0.2,-0.22,2.67,-18.45,-6.02
0.28,0.2,-0.21,0.28,0.2,-0.21,2.49,-18.62,-7.92
0.22,0.12,-0.2,0.22,0.12,-0.2,1.78,-17.92,-6.89
0.15,0.16,-0.22,0.15,0.16,-0.22,0.36,-17.2,-6.2
0.15,0.16,-0.22,0.15,0.16,-0.22,0.36,-17.2,-6.2
0.09,0.25,-0.22,0.09,0.25,-0.22,1.25,-17.73,-5.34
0.07,0.28,-0.24,0.07,0.28,-0.24,0,-17.56,-6.54
0.05,0.36,-0.21,0.05,0.36,-0.21,-0.18,-16.66,-6.02
0.07,0.32,-0.18,0.07,0.32,-0.18,-0.18,-15.95,-6.37
0.09,0.29,-0.19,0.09,0.29,-0.19,-0.71,-16.12,-6.2
0.12,0.29,-0.19,0.12,0.29,-0.19,-1.96,-14.88,-7.06
0.12,0.3,-0.2,0.12,0.3,-0.2,-1.78,-14.7,-6.2
0.17,0.26,-0.22,0.17,0.26,-0.22,-3.03,-12.36,-6.37
0.17,0.29,-0.23,0.17,0.29,-0.23,-3.56,-14.34,-7.23
0.19,0.3,-0.22,0.19,0.3,-0.22,-3.56,-12.9,-7.23
0.19,0.3,-0.22,0.19,0.3,-0.22,-3.56,-12.9,-7.23
0.22,0.29,-0.22,0.22,0.29,-0.22,-2.85,-13.98,-6.89
0.23,0.29,-0.23,0.23,0.29,-0.23,-3.2,-12.18,-7.23
0.23,0.27,-0.19,0.23,0.27,-0.19,-3.56,-11.83,-6.54
0.22,0.23,-0.19,0.22,0.23,-0.19,-4.98,-10.03,-6.54
0.19,0.23,-0.17,0.19,0.23,-0.17,-4.8,-9.85,-8.09
0.19,0.22,-0.21,0.19,0.22,-0.21,-4.27,-8.6,-7.23
0.19,0.27,-0.22,0.19,0.27,-0.22,-4.98,-8.96,-8.26
